trial,run,dog,chemical,event,start_time,end_time,cal
2,2,19,bromooctane,2,74.8,75.4,12.5
2,2,19,bromooctane,3,76.7,77.7,12.5
2,1,9,2E1H,1,33.5,34.5,24.2
2,1,9,2E1H,2,50.2,50.9,24.2
2,2,20,methylbenzoate,1,30.8,31.5,10
2,2,20,methylbenzoate,2,45,46.4,10
2,2,20,bromooctane,1,28,28.7,12
2,2,20,bromooctane,2,42.8,43.4,12
2,2,20,Blank,1,25.3,26.4,14
2,2,20,Blank,2,40.2,40.6,14
2,2,20,Ammonia,1,37.3,38.5,15.9
2,2,13,methylbenzoate,1,99.1,101.2,23.6
2,2,13,methylbenzoate,2,139.5,140,23.6
2,2,13,bromooctane,1,106,108,25.4
2,2,13,bromooctane,2,138.2,139.5,25.4
2,2,13,Blank,1,91.3,92.4,27.4
2,2,13,Blank,2,133.5,134.1,27.4
2,2,13,Blank,3,137,137.5,27.4
2,2,13,Blank,4,141.6,142.2,27.4
2,2,13,Ammonia,1,130.3,131.2,29.4
2,2,22,methylbenzoate,2,142.5,144,7.6
2,2,22,bromooctane,1,122.8,124.2,9.4
2,2,22,Ammonia,1,87.6,88.2,20
2,2,23,methylbenzoate,1,156,158.5,15.4
2,2,24,methylbenzoate,1,16.3,17.8,6.2
2,2,24,methylbenzoate,2,22.5,23.4,6.2
2,2,24,bromooctane,1,13.7,14.2,8.2
2,2,24,bromooctane,2,19.8,20.7,8.2
2,2,24,Blank,1,11.1,11.6,10.2
2,2,24,Blank,2,23.3,23.9,10.2
2,2,24,Ammonia,1,14.8,15.2,12.1
2,2,24,Ammonia,2,21.9,22.8,12.1
2,2,25,methylbenzoate,1,50.5,51,12.9
2,2,25,bromooctane,1,42,43,15.2
2,2,25,bromooctane,2,49.3,50,15.2
2,2,25,bromooctane,3,57.5,58.5,15.2
2,2,25,Blank,1,54.8,55.9,17.4
2,2,25,Ammonia,1,52.5,53.6,19.2
3,1,1,2E1H,1,19.1,20.3,28.6
3,1,1,2E1H,2,29.8,30.4,28.6
3,1,1,2E1H,3,37.3,37.8,28.6
3,1,1,Blank,1,28,28.7,19.6
3,1,1,Blank,2,34.6,35.2,19.6
3,1,1,methylbenzoate,1,37.4,38,21.7
3,1,1,methylbenzoate,2,38.9,39.6,21.7
3,1,1,bromooctane,1,29.3,32,23.9
3,1,1,bromooctane,2,43.7,44.1,23.9
3,1,2,2E1H,1,15.4,15.9,45.7
3,1,2,2E1H,2,27.9,28.5,45.7
3,1,2,2E1H,3,78.5,78.9,45.7
3,1,2,Blank,1,29.5,30.2,47.2
3,1,2,methylbenzoate,1,28.5,29.4,48.8
3,1,2,methylbenzoate,2,43.4,43.9,48.8
3,1,2,bromooctane,1,20.8,21.5,50.4
3,1,2,bromooctane,2,27.8,28.5,50.4
3,1,9,2E1H,1,28.8,29.7,14.7
3,1,9,Blank,1,27.4,28.4,16.6
3,1,9,Blank,2,41.4,41.9,16.6
3,1,9,methylbenzoate,1,26.4,27.4,18
3,1,9,bromooctane,1,25.6,26.1,19.6
3,1,9,bromooctane,2,37.1,37.6,19.6
3,1,14,2E1H,1,46.2,47,43.4
3,1,14,2E1H,2,62.3,64,43.4
3,1,14,Blank,1,44.6,46,45
3,1,14,methylbenzoate,1,67,69.2,46.5
3,1,14,bromooctane,1,47.8,48.6,47.9
3,1,14,bromooctane,2,55.4,55.8,47.9
3,1,15,2E1H,1,15.6,16.5,45.7
3,1,15,2E1H,2,23.8,24.4,45.7
3,1,15,Blank,1,13.3,14.3,47.3
3,1,15,Blank,2,16.4,17,47.3
3,1,15,Blank,3,21.8,22.4,47.3
3,1,15,methylbenzoate,1,15.4,16.3,48.8
3,1,15,bromooctane,1,14.2,15,50.3
3,1,15,bromooctane,2,10.1,10.7,50.3
3,1,15,bromooctane,3,18,18.8,50.3
3,1,17,2E1H,1,74.1,75,5.7
3,1,17,2E1H,2,95.7,96.7,5.7
3,1,17,2E1H,3,114,114.4,5.7
3,1,17,Blank,1,57.7,58.7,7.3
3,1,17,Blank,2,70.8,71.7,7.3
3,1,17,methylbenzoate,1,79.7,80.2,8.8
3,1,19,2E1H,1,17.6,18.5,9.5
3,1,20,2E1H,1,18.7,19.6,14.5
3,1,20,2E1H,2,22.1,22.7,14.5
3,1,19,Blank,1,14.8,16,11.2
3,1,19,methylbenzoate,1,11.1,12,13.2
3,1,19,methylbenzoate,2,15.7,16.2,13.2
3,1,19,bromooctane,1,13.2,13.8,14.7
3,1,11,2E1H,1,73.7,74.2,5.1
3,1,11,2E1H,2,93.8,96.5,5.1
3,1,11,Blank,1,89.2,90.5,7
