"trial","run","dog","chemical","event","start_time","end_time","cal","target","sniff_freq","sniff_duration","sniff_volume","sniff_vfr","sniff_counts","total_volume"
"3","2","14","Ammonia",1,13,13.6,10.8,TRUE,6.0661764705882,0.174999999999999,440.874655599184,2613.17130978844,2,881.749311198368
"3","2","14","Ammonia",2,16.3,17.2,10.8,TRUE,7.0887445887446,0.135,64.6532216919744,518.026670033942,4,258.612886767898
"3","2","14","Ammonia",3,24.7,25.3,10.8,TRUE,8.12499999999993,0.146666666666666,243.677237826476,1476.68117212701,3,731.031713479427
"3","2","15","bromooctane",1,59.6,61,11.4,FALSE,5.86652930402933,0.187142857142857,105.848387728265,734.970045423034,7,740.938714097852
"3","2","15","bromooctane",2,63.9,64.8,11.4,FALSE,6.69934640522861,0.161999999999999,74.1407509258275,395.85055422771,5,370.703754629138
"3","2","15","methylbenzoate",1,49,49.8,12.8,FALSE,5.26515151515145,0.193333333333333,140.525393297335,699.34639420658,3,421.576179892005
"3","2","15","methylbenzoate",2,57.5,58.5,12.8,FALSE,5.87936913895988,0.184999999999999,144.764795840963,790.382517372779,4,579.059183363851
"3","2","15","methylbenzoate",3,71,71.8,12.8,FALSE,5.38446054750412,0.196666666666668,164.059068352685,811.422252582533,3,492.177205058056
"3","2","15","Blank",1,62,63,20.9,FALSE,4.58975256769375,0.175000000000001,155.64225378444,808.669470478267,4,622.569015137759
"3","2","15","Ammonia",1,44.7,46.2,15.4,TRUE,5.85540649008141,0.172857142857143,103.683005424374,579.731097802898,7,725.781037970616
"3","2","15","Ammonia",2,69,70.7,15.4,TRUE,5.60270869481401,0.184999999999999,190.365291078747,1014.30806829859,8,1522.92232862998
"3","2","17","bromooctane",1,20,21.3,10.2,FALSE,6.2063492063492,0.168333333333334,74.840239160202,423.815237330112,6,449.041434961212
"3","2","17","bromooctane",2,29,29.9,10.2,FALSE,6.05392156862746,0.1725,79.8844717385426,461.872727678447,4,319.53788695417
"3","2","17","methylbenzoate",1,26.7,27.7,11.7,FALSE,3.00724637681159,0.2,111.994717273504,458.206973996825,3,335.984151820513
"3","2","17","methylbenzoate",2,30.6,31.4,11.7,FALSE,5.65972222222226,0.196666666666668,264.349172090172,1275.39790661427,3,793.047516270515
"3","2","17","Blank",1,53.3,55,13.2,FALSE,5.28834340753844,0.19,77.7750341723622,396.920893127114,8,622.200273378898
"3","2","17","Ammonia",1,40.9,42.8,14.6,TRUE,5.87172463817199,0.179,182.016902664152,1035.99360203301,10,1820.16902664152
"3","2","19","Ammonia",1,11.6,11.9,12.5,TRUE,7.14285714285711,0.220000000000002,556.201806997659,2528.19003180751,1,556.201806997659
"3","2","19","Ammonia",2,29.4,30.3,12.5,TRUE,5.80036739576214,0.176666666666667,76.1767973618452,448.697701047294,3,228.530392085536
"3","2","19","Ammonia",3,33.6,34.2,12.5,TRUE,5.05747126436785,0.143333333333333,490.13190306951,3618.96949633701,3,1470.39570920853
"3","2","19","Ammonia",4,56.2,57.2,12.5,TRUE,6.93795787545788,0.154000000000001,90.0008421088718,594.160262389643,5,450.004210544359
"3","2","20","bromooctane",1,20.9,21.6,10,FALSE,5.55555555555556,0.173333333333333,87.4993066481627,493.419482156668,3,262.497919944488
"3","2","20","bromooctane",2,29.8,30.5,10,FALSE,NA,NA,159.291053450353,671.033196312276,2,318.582106900705
"3","2","20","methylbenzoate",1,16.4,16.8,11.5,FALSE,NA,NA,342.891981686265,1428.71659035945,1,342.891981686265
"3","2","20","methylbenzoate",2,19,19.6,11.5,FALSE,6.38888888888885,0.15,140.415068773687,879.925610542336,3,421.245206321062
"3","2","20","methylbenzoate",3,27.7,28.4,11.5,FALSE,3.125,0.26,204.929436557866,763.587288581495,2,409.858873115732
"3","2","20","Blank",1,15.4,15.9,12.9,FALSE,7.14285714285711,0.145000000000001,178.108664742615,1212.86899647215,2,356.21732948523
"3","2","20","Blank",2,25.4,26.4,12.9,FALSE,3.57142857142856,0.180000000000001,220.449290918765,1021.13848825071,4,881.797163675059
"3","2","20","Ammonia",1,14.8,15.7,14.2,TRUE,5.77245670995671,0.213333333333334,77.2399148962798,328.99228216637,3,231.719744688839
"3","2","20","Ammonia",2,21,22,14.2,TRUE,4.33333333333337,0.227499999999999,81.7233449073309,273.418428625041,4,326.893379629324
"3","2","20","Ammonia",3,29.1,30.4,14.2,TRUE,5.93736696466578,0.228,267.960836731449,1022.64097742783,5,1339.80418365724
